ID,Name,dialog1,dialog2,dialog3
1,Kijun,아 긍까,네 감사드립니다  🙏,아 네 고생이십니다! 🙏
2,Sangmi,오늘 아트팀 미팅은 3시에 시작합니다~,,잠시 허들 요청드려요!
3,Swen,친구비 방금 드렸습니다,>>> sum([r[1][1] for r in utx...,블록당 tx 수가 늘긴 했는데 이건 인..
4,Yang,근데 지금 배포할 수 있나요?,이번 픽업 쌍천장이라 접을뻔했습니다,혹시 노드 어디 접속하셨나요
5,Yujeong,조아여,다됐으면 고 하시죠 고생많으셨습니다,neng
6,Seungmin ,문서를 하나 마련해봤어요.,머지됐어요~,네 좋아요
7,Sujin ,컬러바리에이션 2종 캐릭터 전달드립니다.,정확한 축소비율 요청드립니다,오래된 꼬리 리소스 변경입니다~
8,Garam,이거 진행합니당. 노션 읽어봤습니당.,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,저보다 운 없는 사람 있으면 나와보시죠
9,Dogeon,한 일: 브릿지 E2E. 하다 보니 제네시스 블록을..,네네. 말씀해주신게 맞습니다.,어푸르부 부탁드립니다 😸
10,Suho,액션 수정된 거 하나 돌려보시면 알수있습니다,슈퍼스타 우자와 레이사 등장입니다,옛날 블록 재생할 땐 HAS1~19 다 나올거라
11,JC,가격도 좋고 ㅎㅎㅎ,오늘 결제를 보니 베트남에서의 지불이 꽤 치고 올라왔네요.,용감한데?
12,Lime,헤드리스 3번도 비슷한 현상이 발생했었어요,일단 tx 전송은 완료입니다,argocd 쪽에서 OutOfSync 로 표시되는...
13,Hyunseok ,진님까지 완료해주셨으니 머지할께요!,넵 지금 요기채널로 들어갈께요!,머지 완료우~ 출항하시져~~! @Jam
14,Hakyong,정직한 네이버 사다리로 하겠습니다,입사 2주년 축하드립니당 :) !!,짭조름한것이 ...
15,Kidon,지금 확인해 보겠습니다,DP는 이전 블록 볼 필요가 없어서 PAEV 설정 안쓰고 돌리고 있긴합니다,넵 기록 남겨둔거 있는데 찾아볼게여
16,Say,네 플러거블 안써도 되는지는 저도 잘...,도커 yaml에서 안지워져서 그런거 같은데...,커밋이 잘 쪼개져 있기를(...)
17,Yoshi,좋은 분들 모시러 다닙니다,흔한 고인물 현자…ㅋㅋㅋ,오...😂😂😂😂
18,Kimsm,클라 백머지 시작합니다,오락실 각 함 잴까요,엥
19,Yeajung Pyun,인보이스 정리해서 부탁드려요!,요거 오늘 내보내주실 수 있을까요?,떽!
20,Ahram,좋은 질문입니다. 당연히 endpoint가 다르구요..!,앗.. PR 작업 하다가 뭔가 꼬인거같네요..!,서버실 작업 완료 하였습니다.
21,hayeong,복식도 캐릭터마다 변형해야 하나 고민되어서..,저녁먹고 쉬다 옵니다,v8인간여캐 시안입니다.
22,Eu,절대 푸시하는건 아니고~,닝겐 정신이 드는가?,제 동글이는 역겹구리로 하겠습니다
23,Jake,151. eu님의 사내 괴롬힘,(fyi) 우선 오늘 나가기로 했던 마케팅/커뮤니케이션 다른 공지들..,151. eu님의 사내 괴롭힘
24,jaeho,기획사항 체크 부탁드립니다,그 기능은 시간을 좀 더 주시면.. 읍읍,음?
25,Kevin,오늘 회의는 포트폴리오사 외부 미팅이 있어서..,초록뱀 미디어 상폐! 🐍,으악
26,Kimbug,버그버그~,버그 will always be there for you sir 🤘,좋습니다 방승헌님!
27,loun,(당신의 NCG가 불타고 있습니다!),역시 블록체인은 빠르게 움직여야 돈이,아이콘이 귀여운 것도 중요
28,hyejyung,커피챗 하고 오겠습니다,과제 결과물 검토 요청드립니다 ^.^,너무 가셨습니다. ㅎㅎㅎ
29,YOHO/Victor,커뮤니티 유저들이 화가 많이 났습니다,,여기 있습니다.
30,Boram,리소스 전달드립니다,프리퓁 수정해도 되겠죠?,위 언어 대응이 베트남어와 인도...
31,Kyungbok,이벤트 보상 지급 요청드립니다.,확인했습니다~ 감사합니다~,귀욤
32,Jongha_Daniel,Ace 호가.. ㅋㅋ,죄송한데..🙏,ACE 빗썸 상장...
33,Jiwon,# Write your query or mutation here,네넵 대신 열심히 미네랄 캐오겠습니다,억
34,Chorong,아트 위클리 미팅노트,소오름,저기 진짜 맛있어요 후회없음
35,Andy,완료입니당,베어그릴스...,코인원 상장은.. 아무런 효력이 없었다!
36,Akamig,자 바 스 크 립 트 파 괴,따봉,오 몬가몬가 됨
37,Gil,그냥 문득 궁금해진건데..,혹시 모르지만 노파심에 말씀드리자면..,자 이제 수정을 해볼까...
38,ilgyu,네넹,9c-perf-test & origin쪽 테스트...,아 그런건가
39,Syu,넵! 지금 확인하겠습니다 ㅠㅠ,패치테이블 완료되었습니다.,고생하셨습니다!
40,YunKyung,flex에 올려주세요~,회식비 체크/비용지급건 체크/...,음하하하하핳
41,Karl,130개입니다,잘 들어가있군요!,우와ㅏㅏㅏㅏ
42,Jin,리뷰 완료했습니다.,좋네요. 리뷰 완료했습니다.,오늘의 캠퍼싱
43,Jam,업데이트 뜹니다,제가 머지하였습니다 ㅎㅎ,일케 나오면 되나영
44,Hyeon,마지막에 main 으로 짠 하고 가시죠,싸워야 용기 경험치를 받는데 ㄷㄷ,억
45,jihyung,네 이거 적용만 좀 먼저 하겠습니다,허들하실까요?,포트는 아래처럼 되어있는데...
46,jeongmin,넵!,첨부한 pr 삭제할게요,넵 해당 이슈 선민님께서...
47,SunWoong,ncg 조회해보면 0.9 밖에...,네 알겠습니다 ㅎ,상황보고 결정하시죠
48,SeungHeon,아~~~~~재미졌다뤼~~~~,이건 BSC 브릿지 통해서 넘어온거네요,넵 감사합니다!!
49,Taehwan,헉,와 갓가람!,앗 그렇군요 감사합니다! 수정...
50,donghyun,오후에 싱크업 후에 말씀드려도 될까요?,고려해봄직합니다,하시지요
51,hyejin,너무좋아요 ❤️,예이~,오옹
52,Mizuki,안주도 주입니다,추가로 ARM맥에서는 OrbStack을...,진짜 쉽지않네요
53,Jaejun,만일 하시게 된다면 ㅎㅎ,넵 슬랙으로 할까요~?,develop으로 열어주시죠~
54,Jonny,오 다행이군요~!,수고하셨습니다~!,이거 노치컴포넌트 수정하면서...
55,Shift,잔고 확인해보겠습니다,"지금 집행하려고 하는데, 진행하면 ...",헤임달 쿼리 TX 목록
56,Vera,넵 감사합니다,ㅈㅓ요,뿌~
57,Jane,넵!,Done 좋은 것같습니다!,넵! 저도 좋습니당!ㅎㅎ
58,Sasha,알겠습니다!,모바일 더 정리해보겠습니다!!,나갈땐 맘대로가 아니란다..
59,Euni,저두 낄게요 ㅎ.ㅎ,지스타 발표 피피티입니당,입금 완!
60,jeesu,macOS 로도 9c 되요?,맛있습니다.,받았습니다.
61,MyeongJin,넵!,마스 예약했습니다!,넵 확인하고 말씀드리겠습니다
